,Uniprot_ID,Targeted_Mutations_Essential_B_Subtilis,KanR_ErmR_Libraries_Essential_B_Subtilis,CRISPRi_Essential_B_Subtilis,BG_ID,Gene
0,C0H3X4,0,1,1,,yezG
1,C0H3Z4,0,1,0,,yjzJ
2,C0SP93,1,1,1,BG13926,accD
3,O05227,0,1,1,BG12343,mrpG
4,O05228,1,1,1,BG12344,mrpF
5,O05229,1,1,1,BG12345,mrpD
6,O05259,1,1,1,BG12356,mrpB
7,O05260,1,1,1,BG12357,mrpC
8,O05268,1,1,1,BG12391,yumC
9,O05515,1,0,0,BG12199,tsaE
10,O05516,1,1,1,BG12200,tsaB
11,O05518,1,1,1,BG12202,tsaD
12,O06491,1,1,1,BG12839,gatA
13,O06492,1,1,1,BG12838,gatC
14,O06715,0,1,0,BG13089,hlpB
15,O07581,1,1,1,BG13018,yhdL
16,O07584,1,1,1,BG13021,plsC
17,O07638,1,1,1,BG13351,fpa
18,O07639,1,1,1,BG13352,ftsW
19,O30509,1,1,1,BG12840,gatB
20,O31498,1,1,1,BG12835,ligA
21,O31502,1,1,0,BG12843,dgkB
22,O31590,1,1,0,BG11802,cspR
23,O31612,1,0,1,BG13143,nadF
24,O31741,1,1,1,BG12687,trmD
25,O31742,1,1,1,BG12667,rplS
26,O31743,1,1,1,BG13405,rbgA
27,O31749,0,1,1,BG12675,pyrH
28,O31751,0,1,1,BG13408,uppS
29,O31752,1,1,1,BG12575,cdsA
30,O31753,1,1,1,BG13409,ispC
31,O31755,1,1,1,BG12659,proS
32,O31774,1,1,0,BG13420,rny
33,O31973,0,1,0,BG13599,yomL
34,O31989,0,1,0,BG13584,sunI
35,O32038,1,1,1,BG12572,aspS
36,O32039,1,1,1,BG12605,hisS
37,O32090,1,0,1,BG13966,pncB
38,O32114,1,1,1,BG14048,dapF
39,O32162,1,1,1,BG14007,sufB
40,O32163,1,1,1,BG14008,sufU
41,O32164,1,1,1,BG14009,sufS
42,O32165,1,1,1,BG14010,sufD
43,O32236,0,1,0,BG14069,rghR
44,O32273,0,1,1,BG12689,tuaB
45,O34313,0,1,0,BG12930,yfkN
46,O34318,0,1,0,BG13395,rfaB
47,O34328,1,1,1,BG13386,gmk
48,O34340,1,1,1,BG13128,fabF
49,O34385,0,1,0,BG13851,mntA
50,O34394,0,1,0,BG13197,yjjA
51,O34442,0,1,1,BG13256,mgtE
52,O34514,1,1,1,BG13847,menC
53,O34526,1,1,1,BG12563,alaS
54,O34529,1,0,0,BG12644,pfkA
55,O34530,1,0,0,BG13392,cpgA
56,O34580,1,1,1,BG12834,pcrA
57,O34599,1,0,1,BG13809,yrvO
58,O34623,1,1,1,BG12583,dnaE
59,O34680,1,1,1,BG12788,bsuMB
60,O34687,1,0,0,BG12668,rpmF
61,O34753,1,1,1,BG12684,tagO
62,O34797,0,1,1,BG13361,coaD
63,O34824,1,1,1,BG12704,glmM
64,O34847,1,1,1,BG12557,accA
65,O34916,1,1,1,BG13302,ykuR
66,O34932,1,1,1,BG13824,coaE
67,O34934,0,1,0,BG13837,ytdI
68,O34939,1,1,1,BG12787,bsuMA
69,O34981,1,1,1,BG13301,ykuQ
70,O35020,1,1,1,BG13787,trmU
71,O35033,0,1,1,BG13388,coaBC
72,P02394,1,1,1,BG10726,rplL
73,P04969,1,1,1,BG10731,rpsK
74,P05096,1,1,1,BG10313,dnaG
75,P05647,1,0,0,BG10064,rpmH
76,P05648,1,1,1,BG10065,dnaA
77,P05649,1,1,1,BG10066,dnaN
78,P05652,1,1,1,BG10070,gyrB
79,P05653,1,1,1,BG10071,gyrA
80,P05657,1,1,1,BG10335,rpmA
81,P06224,1,1,1,BG10314,sigA
82,P06567,1,1,1,BG10359,dnaI
83,P07908,1,1,1,BG10358,dnaB
84,P08164,1,1,1,BG10694,nadE
85,P08821,1,1,1,BG10276,hbs
86,P09122,1,1,1,BG10083,dnaX
87,P09124,0,1,1,BG10827,gapA
88,P0CI73,1,1,1,BG10948,glmS
89,P0CI75,1,1,1,BG11206,birA
90,P0CI78,1,1,1,BG10759,rplX
91,P10725,1,1,1,BG10950,alr
92,P11045,1,1,1,BG10795,dfrA
93,P12873,1,0,0,BG10756,rpmC
94,P12874,1,1,1,BG10757,rpsQ
95,P12875,1,1,1,BG10758,rplN
96,P12877,1,1,1,BG10760,rplE
