,BSU_ID_x,Gene,BSU_ID_y,Uniprot_ID,_merge,New_Gene
42,BSU01260,rplNA,,,left_only,rplN
45,BSU01290,rpsNA,,,left_only,rpsN
67,BSU04640,alrA,,,left_only,alr
68,BSU05920,ydiC,,,left_only,tsaB
69,BSU05940,gcp,,,left_only,tsaD
72,BSU06060,ydiO,,,left_only,bsuMA
73,BSU06070,ydiP,,,left_only,bsuMB
85,BSU11610,ppnKA,,,left_only,nadF
89,BSU14180,dapH,,,left_only,ykuQ
90,BSU14190,dapL,,,left_only,ykuR
92,BSU14840,ylaN,,,left_only,fpa
127,BSU16550,dxr,,,left_only,ispC
152,BSU22780,folEA,,,left_only,folE
170,BSU25680,yqeG,,,left_only,pgpP
172,BSU26350,yqaE,,,left_only,sknR
175,BSU27510,iscS,,,left_only,yrvO
180,BSU27950,ysxB,,,left_only,prp
220,BSU32680,iscU,,,left_only,sufU
239,BSU36370,fabZ,,,left_only,ywpB
248,BSU39220,yxxG,,,left_only,wapI
