ID_ECK,ID_b,ID_JW,name,strain_loc_plate,strain_loc_column,strain_loc_row,category_strain_1_odd_plate,category_strain_2_even_plate,comment
ECK0001,b0001,JW4367,thrL,"79, 80",D,11,verified,use other isolate ,1st-external
ECK0002,b0002,JW0001,thrA,"83, 84",A,8,verified,verified,
ECK0003,b0003,JW0002,thrB,"41, 42",C,2,verified,verified,
ECK0004,b0004,JW0003,thrC,"65, 66",D,2,verified,verified,
ECK0005,b0005,JW0004,yaaX,"17, 18",E,6,verified,verified,
ECK0006,b0006,JW0005,yaaA,"27, 28",C,10,verified,verified,
ECK0007,b0007,JW0006,yaaJ,"25, 26",F,4,verified,verified,
ECK0008,b0008,JW0007,talB,"1, 2",H,10,verified,verified,
ECK0009,b0009,JW0008,mog,"31, 32",H,1,verified,verified,
ECK0010,b0010,JW0009,yaaH,"19, 20",B,2,use other isolate ,verified,1st-external
ECK0011,b0011,JW0010,yaaW,"27, 28",D,10,verified,verified,
ECK0012,b0012,JW5001,htgA,"67, 68",C,4,verified,verified,
ECK0013,b0013,JW0012,yaaI,"17, 18",F,6,verified,verified,
ECK0014,b0014,JW0013,dnaK,"45, 46",E,8,verified,verified,
ECK0015,b0015,JW0014,dnaJ,"45, 46",F,8,verified,verified,
ECK0017,b4412,JW5002,hokC,"89, 90",D,8,verified,verified,
ECK0020,b0019,JW0018,nhaA,"39, 40",E,10,verified,verified,
ECK0021,b0020,JW0019,nhaR,"1, 2",C,7,verified,mixture,single colony isolates from even plate were tested by external PCR
ECK0024,b0023,JW0022,rpsT,"89, 90",G,5,verified,verified,
ECK0025,b0024,JW5003,yaaY,"89, 90",E,8,verified,verified,
ECK0027,b0026,JW0024,ileS,"57, 58",H,3,duplication,duplication,
ECK0029,b0028,JW0026,fkpB,"79, 80",A,10,verified,verified,
ECK0031,b0030,JW0028,rihC,"49, 50",C,4,verified,verified,
ECK0033,b0032,JW0030,carA,"85, 86",C,4,verified,verified,
ECK0034,b0033,JW0031,carB,"49, 50",D,4,verified,verified,
ECK0035,b0034,JW0033,caiF,"59, 60",A,6,verified,verified,
ECK0036,b0035,JW5004,caiE,"67, 68",D,4,verified,verified,
ECK0037,b0036,JW0035,caiD,"49, 50",D,1,verified,verified,
ECK0038,b0037,JW0036,caiC,"41, 42",D,2,verified,verified,
ECK0039,b0038,JW0037,caiB,"85, 86",G,3,verified,verified,
ECK0040,b0039,JW0038,caiA,"85, 86",H,3,verified,verified,
ECK0041,b0040,JW0039,caiT,"49, 50",E,1,verified,verified,
ECK0042,b0041,JW0040,fixA,"85, 86",A,10,verified,verified,
ECK0043,b0042,JW0041,fixB,"49, 50",F,1,verified,verified,
ECK0044,b0043,JW0042,fixC,"49, 50",G,1,verified,verified,
ECK0045,b0044,JW0043,fixX,"49, 50",F,8,verified,verified,
ECK0046,b0045,JW0044,yaaU,"39, 40",F,10,verified,verified,
ECK0047,b0046,JW0045,kefF,"49, 50",G,8,verified,verified,
ECK0048,b0047,JW0046,kefC,"39, 40",G,10,verified,verified,
ECK0050,b0049,JW0048,apaH,"49, 50",E,4,verified,verified,
ECK0051,b0050,JW0049,apaG,"81, 82",H,3,verified,verified,
ECK0052,b0051,JW0050,ksgA,"49, 50",F,4,verified,verified,
ECK0053,b0052,JW0051,pdxA,"43, 44",C,1,verified,verified,
ECK0054,b0053,JW0052,surA,"61, 62",G,9,verified,verified,
ECK0056,b0055,JW0054,djlA,"29, 30",C,8,verified,verified,
ECK0057,b0056,JW0055,yabP,"79, 80",D,8,verified,verified,
