Gene,ECK,JW,b,PEC,FC,Description
 btuB,ECK3958,JW3938,b3966,N,08-Apr,Vitamin B12/cobalamin outer membrane transporter
 djlB,ECK0639,JW0641,b0646,N,08-Aug,Predicted chaperone
 folP,ECK3166,JW3144,b3177,N,08-Jul,"7,8-Dihydropteroate synthase"
 hemE,ECK3989,JW3961,b3997,N,08-Mar,Uroporphyrinogen decarboxylase
 priB,ECK4197,JW4159,b4201,N,08-Mar,Primosomal protein N
 rplK,ECK3974,JW3946,b3983,N,08-Apr,50S ribosomal subunit protein L11
 rplY,ECK2179,JW2173,b2185,N,08-Aug,50S ribosomal subunit protein L25
 rpsO,ECK3154,JW3134,b3165,N,08-Feb,30S ribosomal subunit protein S15
 rpsU,ECK3055,JW3037,b3065,N,08-Mar,30S ribosomal subunit protein S21
 tpr,ECK1224,JW1219,b1229,—,08-Feb,Predicted protamine-like protein
 yiaD,ECK3539,JW5657,b3552,N,08-Feb,Predicted outer membrane lipoprotein
