Cluster,Keio gene name,EcoGene Essentiality: Escherichia coli BW25113,Ancestral Essentiality,PastML Ancestral Essentiality,Core Essentiality,Conserved in Symbiont Genomes,TraDIS Essentiality: Klebsiella pneumoniae Ecl8,TraDIS Essentiality: Klebsiella pneumoniae RH201207,TraDIS Essentiality: Escherichia coli ST131 EC958,TraDIS Essentiality: Escherichia coli UPEC ST131 NCTC13441,TraDIS Essentiality: Escherichia coli BW25113,TraDIS Essentiality: Citrobacter rodentium ICC168,TraDIS Essentiality: Salmonella Typhi Ty2,TraDIS Essentiality: Salmonella Typhimurium A130,TraDIS Essentiality: Salmonella Typhimurium D23580,TraDIS Essentiality: Salmonella Typhimurium SL3261,TraDIS Essentiality: Salmonella Typhimurium SL1344,TraDIS Essentiality: Salmonella Enteritidis P125109,Locus: Klebsiella pneumoniae Ecl8,Locus: Klebsiella pneumoniae RH201207,Locus: Escherichia coli ST131 EC958,Locus: Escherichia coli UPEC ST131 NCTC13441,Locus: Escherichia coli BW25113 (Keio),Locus: Escherichia coli BW25113,Locus: Citrobacter rodentium ICC168,Locus: Salmonella Typhi Ty2,Locus: Salmonella Typhimurium A130,Locus: Salmonella Typhimurium D23580,Locus: Salmonella Typhimurium SL3261,Locus: Salmonella Typhimurium SL1344,Locus: Salmonella Enteritidis P125109,Locus: Secondary endosymbiont of Ctenarytaina eucalypti,Locus: Candidatus Moranella endobia PCIT,Locus: Secondary endosymbiont of Heteropsylla cubana,Locus: Candidatus Baumannia cicadellinicola strain BGSS,Locus: Candidatus Baumannia cicadellinicola strain B-GSS,Locus: Baumannia cicadellinicola str. Hc (Homalodisca coagulata),Locus: Blochmannia endosymbiont of Camponotus (Colobopsis) obliquus strain 757,Locus: Blochmannia endosymbiont of Polyrhachis (Hedomyrma) turneri strain 675,Locus: Candidatus Blochmannia vafer str. BVAF,Locus: Candidatus Blochmannia floridanus,Locus: Candidatus Blochmannia pennsylvanicus str. BPEN,Locus: Candidatus Blochmannia chromaiodes str. 640,Locus: Wigglesworthia glossinidia endosymbiont of Glossina brevipalpis,Locus: Wigglesworthia glossinidia endosymbiont of Glossina morsitans morsitans,Locus: Buchnera aphidicola str. Sg (Schizaphis graminum),Locus: Buchnera aphidicola str. G002 (Myzus persicae),Locus: Buchnera aphidicola str. USDA (Myzus persicae),Locus: Buchnera aphidicola str. F009 (Myzus persicae),Locus: Buchnera aphidicola str. W106 (Myzus persicae),Locus: Buchnera aphidicola str. Ak (Acyrthosiphon kondoi),Locus: Buchnera aphidicola str. APS (Acyrthosiphon pisum),Locus: Buchnera aphidicola str. Tuc7 (Acyrthosiphon pisum),Locus: Buchnera aphidicola str. LL01 (Acyrthosiphon pisum),Locus: Buchnera aphidicola str. TLW03 (Acyrthosiphon pisum),Locus: Buchnera aphidicola str. JF98 (Acyrthosiphon pisum),Locus: Buchnera aphidicola str. JF99 (Acyrthosiphon pisum),Locus: Buchnera aphidicola str. 5A (Acyrthosiphon pisum),Locus: Buchnera aphidicola str. Ua (Uroleucon ambrosiae),Locus: Buchnera aphidicola str. Bp (Baizongia pistaciae),Locus: Buchnera aphidicola BCc,Locus: Buchnera aphidicola (Cinara tujafilina),Locus: Sodalis glossinidius str. morsitans,Locus: Sodalis praecaptivus strain HS1,Locus: Candidatus Sodalis pierantonius str. SOPE
Clust0,uvrA,0,0,0,0,0,3.281098603,3.308408217,3.244532632,2.956906649,3.44503543,2.990686031,2.422694977,2.249947214,2.182385457,2.918421718,2.919731846,2.431285806,BN373_00521,ERS227112_01917,EC958_4528,NCTC13441_04414,b4058,BW25113_4058,ROD_36311,t4160,STM_MW42041,STMMW_42041,SL3261_4190,SL1344_4190,SEN4023,A359_09260,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SG2129,Sant_3861,SOPEG_1324
Clust1,narZ,0,0,0,0,0,3.450980312,2.276477789,3.045210781,2.877866276,2.66627074,2.98928187,1.859809931,3.155112177,3.153606446,3.027186907,3.597282391,2.432473875,BN373_24611,ERS227112_04796,EC958_1735,NCTC13441_02359,b1468,BW25113_1468,ROD_15691,t1488,STM_MW15721,STMMW_15721,SL3261_1508,SL1344_1508,SEN1478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sant_0171,SOPEG_ps0456
Clust2,narG,0,0,0,0,0,3.157322369,2.542389594,3.34929192,2.597997369,2.974263568,3.405167008,2.237199567,2.375250582,3.335436395,3.034941427,3.437930115,2.12109244,BN373_28081,ERS227112_04454,EC958_1494,NCTC13441_02615,b1224,BW25113_1224,ROD_17821,t1673,STM_MW17561,STMMW_17561,SL3261_1692,SL1344_1692,SEN1275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Clust3,rpoB,1,1,1,1,0,-3.483099581,-3.816138995,-4.869824714,-5.254281976,-6.5,-1.362738712,-5.143137929,-3.521227056,-2.269411573,-3.932115668,-2.568419939,-1.863108936,BN373_49801,ERS227112_01835,EC958_5098,NCTC13441_04508,b3987,BW25113_3987,ROD_37651,t3474,STM_MW41061,STMMW_41061,SL3261_4092,SL1344_4092,SEN3937,A359_02790,MEPCIT_431,A35E_00321,IM45_1105,AB162_448,BCI_0502,BOBLI757_564,BTURN675_556,BVAF_559,Bfl557,BPEN_577,BCHRO640_593,BA000021_521,WIGMOR_0229,BUsg_035,BUMPG002_CDS00553,BUMPUSDA_CDS00551,BUMPF009_CDS00552,BUMPW106_CDS00552,BAKON_034,BA000003_32,BUAPTUC7_034,CWO_00170,CWQ_00190,NA,CWS_00175,BUAP5A_033,BUAMB_033,bbp_035,BCc_019,BCTU_019,SG0134,Sant_3923,SOPEG_3587
Clust4,clpB,0,0,0,0,0,3.982981976,3.337861754,3.82131372,3.615399419,3.156667713,3.599952791,2.735729133,2.841453569,3.369585117,4.018760984,3.539554403,3.188528644,BN373_35691,ERS227112_01729,EC958_2896,NCTC13441_01148,b2592,BW25113_2592,ROD_25341,t2616,STM_MW26761,STMMW_26761,SL3261_2620,SL1344_2620,SEN2583,A359_00770,MEPCIT_263,NA,IM45_457,AB162_170,BCI_0194,BOBLI757_183,BTURN675_177,BVAF_183,Bfl182,BPEN_188,BCHRO640_190,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SG0584,Sant_3170,SOPEG_0754
Clust5,NA,0,0,0,0,0,NA,1.869224114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ERS227112_00173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Clust6,fusA,1,1,1,1,0,-2.396340222,-6.5,-6.5,-4.167264753,-6.5,-1.85071981,-6.5,-6.5,-1.552369827,-4.785694033,-6.5,-1.624053985,BN373_43621,ERS227112_00861,EC958_3736,NCTC13441_00355,b3340,BW25113_3340,ROD_44791,t4059,STM_MW34381,STMMW_34381,SL3261_3413,SL1344_3413,SEN3274,A359_04080,MEPCIT_455,A35E_00447,IM45_1089,AB162_440,BCI_0494,BOBLI757_572,BTURN675_564,BVAF_567,Bfl565,BPEN_585,BCHRO640_601,BA000021_28,WIGMOR_0032,BUsg_508,BUMPG002_CDS00076,BUMPUSDA_CDS00076,BUMPF009_CDS00076,BUMPW106_CDS00076,BAKON_532,BA000003_491,BUAPTUC7_521,CWO_02780,CWQ_02810,NA,CWS_02725,BUAP5A_520,BUAMB_502,bbp_470,BCc_344,BCTU_355,SG2284,Sant_0418,SOPEG_0237
Clust7,NA,0,0,0,0,0,3.147670789,2.820338034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BN373_30721,ERS227112_04112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sant_3055,NA
Clust8,rpoC,1,1,1,1,0,-1.963737754,-6.5,-2.462878305,-5.325901493,-4.687379397,-1.187960692,-2.201872098,-6.5,-2.792245434,-3.410509143,-5.954183752,-1.785068008,BN373_49811,ERS227112_01836,EC958_5099,NCTC13441_04507,b3988,BW25113_3988,ROD_37641,t3473,STM_MW41071,STMMW_41071,SL3261_4093,SL1344_4093,SEN3938,A359_02800,MEPCIT_430,A35E_00320,IM45_1107,AB162_449,BCI_0503,BOBLI757_563,BTURN675_555,BVAF_558,Bfl556,BPEN_576,BCHRO640_592,BA000021_522,WIGMOR_0228,BUsg_034,BUMPG002_CDS00554,BUMPUSDA_CDS00552,BUMPF009_CDS00553,BUMPW106_CDS00553,BAKON_033,BA000003_31,BUAPTUC7_033,CWO_00165,CWQ_00185,NA,CWS_00170,BUAP5A_032,BUAMB_032,bbp_034,BCc_018,BCTU_018,SG0135,Sant_3922,SOPEG_3586
Clust9,NA,0,0,0,0,0,3.42235854,2.861570377,NA,NA,NA,2.610778094,NA,NA,NA,NA,NA,NA,BN373_41211,ERS227112_01139,NA,NA,NA,NA,ROD_36121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BOBLI757_526,BTURN675_519,BVAF_524,Bfl523,BPEN_542,BCHRO640_556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sant_1189,SOPEG_ps3038
