BG_ID,Gene,Synonym,Size,Mutant,Contributor,TW,PW,Prediction,Prophage,Product,Reference
BG10065,dnaA,dnaA,446,,,,Yes,,,chromosomal replication initiator protein,EMBO J 1990. 9:2905-10
BG10066,dnaN,dnaN,378,,,,Yes,,,DNA polymerase III beta subunit,Gene 1986. 45:227-31
BG10067,yaaA,yaaA,71,YAAAd,Dr. Ogasawara,No,,,,conserved protein,
BG10068,recF,recF,370,,,,No,,,DNA repair and genetic recombination protein,Mol Gen Genet 1993 May;239(1-2):129-36
BG10069,yaaB,yaaB,52,YAABd,Dr. Ogasawara,No,,,,function unknown and unique,
BG10070,gyrB,gyrB,638,,,,,Yes,,DNA gyrase subunit B,
BG10071,gyrA,gyrA,821,,,,,Yes,,DNA gyrase subunit A,
BG10072,yaaC,yaaC,315,YAACd,Dr. Ogasawara,No,,,,conserved protein,
BG10073,guaB,guaB,488,GUABp,Dr. Ogasawara,Yes,,,,inosine-5'-monophosphate dehydrogenase,
BG10074,dacA,dacA,443,DACAd,Dr. Ogasawara,No,,,,D-alanyl-D-alanine carboxypeptidase, J Bacteriol 1986 Jul;167(1):257-64
BG10075,yaaD,yaaD,294,YAADd,Dr. Ogasawara,No,,,,vitamin B6 biosynthesis,
BG10076,yaaE,yaaE,196,YAAEd,Dr. Ogasawara,No,,,,vitamin B6 biosynthesis,
BG10077,serS,serS,425,,,,,Yes,,seryl-tRNA synthetase,
BG10078,dck,dck,217,YAAFd/BFS2312,Dr. Ogasawara/Dr. Nygaard,No,,,,deoxyadenosine/deoxycytidine kinase,
BG10079,dgk,dgk,207,YAAGd/BFS2311,Dr. Ogasawara/Dr. Nygaard,No,,,,deoxyguanosine kinase,
BG10080,yaaH,yaaH,427,YAAHd,Dr. Ogasawara,No,,,,"required for the L-Alanine-stimulated germination, probable N-acetylglucosamidase",
BG10081,yaaI,yaaI,181,YAAId,Dr. Ogasawara,No,,,,similar to isochorismatase,
BG10082,yaaJ,yaaJ,161,YAAJd,Dr. Ogasawara,No,,,,probable tRNA specific adenosine deaminase,
BG10083,dnaX,dnaX,563,DNAXp,Dr. Ogasawara,Yes,,,,DNA polymerase III gamma and tau subunits,
BG10084,yaaK,yaaK,107,YAAKp,Dr. Ogasawara,No,,,,conserved protein,
BG10085,recR,recR,198,RECRd,Dr. Ogasawara,No,,,,DNA repair and genetic recombination protein,Nucleic Acid Res 1990. 18:6771-7
BG10086,yaaL,yaaL,74,YAALdd,Dr. Ogasawara,No,,,,conserved protein,
BG10087,bofA,bofA,87,BOFAd,Dr. Ogasawara,No,,,,inhibitor of the pro-sigma K processing machinery,Cell 1990. 62:239-50
BG10088,csfB,csfB,64,CSFBd,Dr. Ogasawara,No,,,,sigma-F transcribed gene,
BG10089,xpaC,xpaC,204,XPACd,Dr. Ogasawara,No,,,,5-bromo-4-chloroindolyl phosphate hydrolysis protein,
BG10090,yaaN,yaaN,386,YAANd,Dr. Ogasawara,No,,,,similar to toxic cation resistance protein,
BG10091,yaaO,yaaO,480,YAAOd,Dr. Ogasawara,No,,,,probable lysine decarboxylase,
BG10092,tmk,tmk,212,TMKp,Dr. Ogasawara,Yes,,,,thymidylate kinase,
BG10093,yaaQ,yaaQ,109,YAAQdd,Dr. Ogasawara,No,,,,conserved protein,
BG10094,yaaR,yaaR,146,YAARdd,Dr. Ogasawara,No,,,,conserved protein,
BG10095,holB,holB,329,HOLBp,Dr. Ogasawara,Yes,,,,DNA polymerase III delta' subunit,
BG10096,yaaT,yaaT,275,YAATd,Dr. Ogasawara,No,,,,similar to signal peptidase II,
BG10097,yabA,yabA,119,YABAdd,Dr. Ogasawara,No,,,,conserved protein,
BG10098,yabB,yabB,247,YABBd,Dr. Ogasawara,No,,,,conserved protein,
BG12700,yazA,yazA,99,YAZAdd,Dr. Ogasawara,No,,,,conserved protein,
BG10099,yabC,yabC,292,YABCd,Dr. Ogasawara,No,,,,putative methyltransferase,
BG10100,abrB,abrB,96,ABRBdd,Dr. Ogasawara,No,,,,transcriptional pleiotropic regulator of transition state genes, J Bacteriol 1987 May;169(5):2223-30
BG10101,metS,metS,664,,,,,Yes,,methionyl-tRNA synthetase,
BG10102,yabD,yabD,255,YABDd,Dr. Ogasawara,No,,,,putative deoxyribonuclease,
BG10103,yabE,yabE,437,YABEd,Dr. Ogasawara,No,,,,conserved protein,
BG10104,rnmV,rnmV,186,YABFd,Dr. Ogasawara,No,,,,5S ribosomal RNA maturase,
BG10105,ksgA,ksgA,292,KSGAd,Dr. Ogasawara,No,,,,dimethyladenosine transferase (16S rRNA dimethylase),
BG10106,yabG,yabG,290,YABGd,Dr. Ogasawara,No,,,,spore coat assemly protein,
BG10107,veg,veg,86,VEGdd,Dr. Ogasawara,No,,,,conserved protein,
BG10108,sspF,sspF,61,,,,No,,,small acid-soluble spore protein (minor alpha/beta-type SASP),J Bacteriol 1997 Jan;179(1):272-5
BG10109,ispE,ispE,289,YABHp,Dr. Ogasawara,Yes,,,,4-diphosphocytidyl-2-C-methyl-D-erythritol kinase,
BG10110,purR,purR,285,PURRd,Dr. Ogasawara,No,,,,Pur operon repressor,Proc Natl Acad Sci U S A 1995 Aug 1;92(16):7455-9
BG10111,yabJ,yabJ,125,YABJdd/BFS14,Dr. Ogasawara/Dr. Ehrlich,No,,,,"regulator of purine operon, putative translation initiation inhibitor",
BG10112,spoVG,spoVG,97,SPOVGd,Dr. Ogasawara,No,,,,stage V sporulation protein G (spore cortex synthesis),J Bacteriol 1981 Oct;148(1):341-51
BG10113,gcaD,gcaD,456,GCADp,Dr. Ogasawara,Yes,,,,UDP-N-acetylglucosamine pyrophosphorylase, J Bacteriol 1992 Nov;174(21):6852-6
BG10114,prs,prs,317,PRSp,Dr. Ogasawara,Yes,,,,phosphoribosyl pyrophosphate synthetase,
BG10115,ctc,ctc,204,CTCd,Dr. Ogasawara,No,,,,"50S ribosomal protein L25 family, general stress protein",
BG10116,spoVC,pth,188,SPOVCp,Dr. Ogasawara,Yes,,,,peptidyl-tRNA hydrolase (stage V sporulation protein C),
BG10117,yabK,yabK,76,YABKdd,Dr. Ogasawara,No,,,,function unknown and unique,
