Position,Locus Tag,Replicon,Class - General,Class - Specific,# TA Sites,% Sites Hit,Reads per Site Hit,EL-ARTIST Call,Gene Function,Protein ID,%GC,K12 Homolog ,Call in Keio Collection,COG,,,,,,,,,,,,,,,,,,,,,,,
1,EDL933_RS00005,chromosome,protein_coding,protein_coding,5,80,87,Neutral,thr operon leader peptide,WP_000822720.1,51.2,---,Not Essential,---,,,,,,,,,,,,,,,,,,,,,,,
2,EDL933_RS00010,chromosome,protein_coding,protein_coding,95,71,34,Neutral,bifunctional aspartate kinase/homoserine dehydrogenase I,WP_001264698.1,52.8,b0002,Not Essential,E,,,,,,,,,,,,,,,,,,,,,,,
3,EDL933_RS00015,chromosome,protein_coding,protein_coding,30,53,28,Neutral,homoserine kinase,WP_000241671.1,56.3,b0003,Not Essential,E,,,,,,,,,,,,,,,,,,,,,,,
4,EDL933_RS00020,chromosome,protein_coding,protein_coding,35,69,10,Neutral,threonine synthase,WP_000781063.1,53.1,b0004,Not Essential,E,,,,,,,,,,,,,,,,,,,,,,,
5,EDL933_RS00030,chromosome,protein_coding,protein_coding,13,77,33,Neutral,DUF2502 domain-containing protein,WP_000738742.1,53.9,b0005,Not Essential,---,,,,,,,,,,,,,,,,,,,,,,,
6,EDL933_RS00035,chromosome,protein_coding,protein_coding,33,79,20,Neutral,peroxide stress protein YaaA,WP_000906203.1,48.9,b0006,Not Essential,P,,,,,,,,,,,,,,,,,,,,,,,
7,EDL933_RS00040,chromosome,protein_coding,protein_coding,61,75,28,Neutral,sodium:alanine symporter family protein,WP_001112579.1,53.0,b0007,Not Essential,E,,,,,,,,,,,,,,,,,,,,,,,
8,EDL933_RS00045,chromosome,protein_coding,protein_coding,40,83,14,Neutral,transaldolase 1,WP_000130185.1,51.7,b0008,Not Essential,G,,,,,,,,,,,,,,,,,,,,,,,
9,EDL933_RS00050,chromosome,protein_coding,protein_coding,24,75,20,Neutral,molybdopterin adenylyltransferase,WP_001295414.1,53.9,b0009,Not Essential,H,,,,,,,,,,,,,,,,,,,,,,,
10,EDL933_RS00055,chromosome,protein_coding,protein_coding,22,77,34,Neutral,succinate-acetate/proton symporter SatP,WP_000528538.1,52.7,b0010,Not Essential,C,,,,,,,,,,,,,,,,,,,,,,,
11,EDL933_RS00060,chromosome,protein_coding,protein_coding,26,77,24,Neutral,hypothetical protein,WP_001102370.1,51.0,b0011,Not Essential,---,,,,,,,,,,,,,,,,,,,,,,,
12,EDL933_RS00065,chromosome,protein_coding,protein_coding,19,63,26,Neutral,hypothetical protein,WP_000843566.1,48.9,b0013,Not Essential,---,,,,,,,,,,,,,,,,,,,,,,,
13,EDL933_RS00070,chromosome,protein_coding,protein_coding,69,20,8,Underrepresented,molecular chaperone DnaK,WP_000516135.1,51.4,b0014,Not Essential,O,,,,,,,,,,,,,,,,,,,,,,,
14,EDL933_RS00075,chromosome,protein_coding,protein_coding,32,38,15,Neutral,molecular chaperone DnaJ,WP_001118464.1,55.1,b0015,Not Essential,O,,,,,,,,,,,,,,,,,,,,,,,
15,EDL933_RS00080,chromosome,protein_coding,protein_coding,10,70,31,Neutral,Hok/Gef family protein,WP_000935263.1,51.0,b0018,Not Essential,---,,,,,,,,,,,,,,,,,,,,,,,
16,EDL933_RS00085,chromosome,protein_coding,protein_coding,56,18,6,Underrepresented,Na+/H+ antiporter NhaA,WP_000681368.1,51.3,b0019,Not Essential,CP,,,,,,,,,,,,,,,,,,,,,,,
17,EDL933_RS00090,chromosome,protein_coding,protein_coding,46,63,17,Neutral,transcriptional activator NhaR,WP_000062896.1,47.6,b0020,Not Essential,K,,,,,,,,,,,,,,,,,,,,,,,
18,EDL933_RS32475,chromosome,protein_coding,protein_coding,25,8,10,Underrepresented,hypothetical protein,WP_010904757.1,43.7,---,Not Essential,X,,,,,,,,,,,,,,,,,,,,,,,
19,EDL933_RS31950,chromosome,protein_coding,protein_coding,25,4,2,Underrepresented,hypothetical protein,WP_001303783.1,37.0,---,Not Essential,---,,,,,,,,,,,,,,,,,,,,,,,
20,EDL933_RS00105,chromosome,protein_coding,protein_coding,203,25,9,Underrepresented,fimbrial biogenesis outer membrane usher protein,WP_000946591.1,41.0,---,Not Essential,NW,,,,,,,,,,,,,,,,,,,,,,,
21,EDL933_RS00110,chromosome,protein_coding,protein_coding,52,14,6,Underrepresented,fimbrial assembly chaperone protein StcB,WP_001220311.1,36.5,---,Not Essential,---,,,,,,,,,,,,,,,,,,,,,,,
22,EDL933_RS00115,chromosome,protein_coding,protein_coding,36,31,7,Underrepresented,fimbrial protein,WP_000759928.1,39.1,---,Not Essential,---,,,,,,,,,,,,,,,,,,,,,,,
23,EDL933_RS00120,chromosome,protein_coding,protein_coding,124,14,6,Underrepresented,hypothetical protein,WP_000129338.1,32.3,---,Not Essential,---,,,,,,,,,,,,,,,,,,,,,,,
24,EDL933_RS00125,chromosome,protein_coding,protein_coding,14,0,0,Underrepresented,30S ribosomal protein S20,WP_001274021.1,46.6,b0023,Not Essential,J,,,,,,,,,,,,,,,,,,,,,,,
25,EDL933_RS00130,chromosome,protein_coding,protein_coding,10,40,24,Underrepresented,DUF2575 domain-containing protein,WP_001303784.1,48.0,b0024,Not Essential,---,,,,,,,,,,,,,,,,,,,,,,,
26,EDL933_RS00135,chromosome,protein_coding,protein_coding,42,2,5,Underrepresented,bifunctional riboflavin kinase/FMN adenylyltransferase,WP_000767329.1,53.5,b0025,Essential,H,,,,,,,,,,,,,,,,,,,,,,,
27,EDL933_RS00140,chromosome,protein_coding,protein_coding,84,1,1,Underrepresented,isoleucine--tRNA ligase,WP_001286832.1,55.7,b0026,Essential,J,,,,,,,,,,,,,,,,,,,,,,,
28,EDL933_RS00145,chromosome,protein_coding,protein_coding,25,0,0,Underrepresented,lipoprotein signal peptidase,WP_000083385.1,53.3,b0027,Essential,MU,,,,,,,,,,,,,,,,,,,,,,,
29,EDL933_RS00150,chromosome,protein_coding,protein_coding,14,50,22,Neutral,peptidyl-prolyl cis-trans isomerase,WP_000004655.1,55.3,b0028,Not Essential,O,,,,,,,,,,,,,,,,,,,,,,,
30,EDL933_RS00155,chromosome,protein_coding,protein_coding,30,7,7,Underrepresented,4-hydroxy-3-methylbut-2-enyl diphosphate reductase,WP_001166395.1,55.2,b0029,Essential,I,,,,,,,,,,,,,,,,,,,,,,,
31,EDL933_RS32925,chromosome,pseudogene,pseudogene,30,37,10,Regional,hypothetical protein,---,34.9,---,Not Essential,---,,,,,,,,,,,,,,,,,,,,,,,
32,EDL933_RS00165,chromosome,protein_coding,protein_coding,31,0,0,Underrepresented,4-hydroxy-tetrahydrodipicolinate reductase,WP_000543582.1,52.9,b0031,Essential,E,,,,,,,,,,,,,,,,,,,,,,,
33,EDL933_RS00180,chromosome,protein_coding,protein_coding,42,76,21,Neutral,carbamoyl-phosphate synthase small subunit,WP_000597260.1,53.4,b0032,Not Essential,EF,,,,,,,,,,,,,,,,,,,,,,,
34,EDL933_RS00185,chromosome,protein_coding,protein_coding,102,59,22,Neutral,carbamoyl-phosphate synthase large chain,WP_001126371.1,55.9,b0033,Not Essential,EF,,,,,,,,,,,,,,,,,,,,,,,
35,EDL933_RS00190,chromosome,protein_coding,protein_coding,19,58,26,Neutral,hypothetical protein,WP_000196529.1,35.6,---,Not Essential,---,,,,,,,,,,,,,,,,,,,,,,,
36,EDL933_RS00195,chromosome,protein_coding,protein_coding,24,67,15,Neutral,transcriptional activatory protein CaiF,WP_000333125.1,46.0,b0034,Not Essential,---,,,,,,,,,,,,,,,,,,,,,,,
37,EDL933_RS00200,chromosome,protein_coding,protein_coding,18,72,37,Neutral,carnitine operon protein CaiE,WP_000122894.1,55.2,b0035,Not Essential,R,,,,,,,,,,,,,,,,,,,,,,,
38,EDL933_RS00205,chromosome,protein_coding,protein_coding,26,50,30,Neutral,carnitinyl-CoA dehydratase,WP_001303785.1,53.9,b0036,Not Essential,I,,,,,,,,,,,,,,,,,,,,,,,
39,EDL933_RS00210,chromosome,protein_coding,protein_coding,64,55,25,Neutral,ATP-dependent acyl-CoA ligase,WP_001301863.1,50.6,b0037,Not Essential,IQ,,,,,,,,,,,,,,,,,,,,,,,
40,EDL933_RS00215,chromosome,protein_coding,protein_coding,52,71,32,Neutral,L-carnitine CoA-transferase,WP_000349922.1,52.5,b0038,Not Essential,I,,,,,,,,,,,,,,,,,,,,,,,
