gene,essential,gene_ori,gene_left,gene_right,median_coding,median_template,mad_coding,mad_template,coding,template,operon
cdsA,TRUE,+,195677,196534,-10.23777735,-0.414289068,0.348848753,0.343418346,2,8,cdsA
rplC,TRUE,-,3450319,3450948,-10.18793562,-0.457930653,0.313256029,0.237982127,6,3,rpsJ-rplCDWB-rpsS-rplV-rpsC-rplP-rpmC-rpsQ
lpxC,TRUE,+,106557,107474,-10.17974023,-0.942935417,0.580463054,0.486129786,7,6,mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC
rplS,TRUE,-,2742205,2742552,-9.909878649,-0.199266281,0.828414445,0.527807511,2,3,rpsP-rimM-trmD-rplS
lspA,TRUE,+,25207,25701,-9.860773669,-0.508495926,0,0.578026933,1,7,ribF-ileS-lspA-fkpB-ispH
tmk,TRUE,+,1154347,1154988,-9.666099696,-0.684629798,0.2277906,0.608099761,4,6,pabC-mltG-tmk-holB-ycfH
rpsB,TRUE,+,189874,190599,-9.474486466,-0.509133733,0,0.443142954,1,5,tff-rpsB-tsf
lptE,TRUE,-,670828,671409,-9.355093001,NA,1.721201412,NA,2,0,leuS-lptE-holA-nadD-cobC
rplD,TRUE,-,3449703,3450308,-9.328483816,-0.794459466,0,0.21209771,1,4,rpsJ-rplCDWB-rpsS-rplV-rpsC-rplP-rpmC-rpsQ
rpsP,TRUE,-,2743959,2744207,-9.305000421,-0.879827896,0.014863569,0.121491436,2,2,rpsP-rimM-trmD-rplS
ibaG,FALSE,-,3334571,3334825,-9.199186238,-0.578044143,0.333313178,0,2,1,ibaG-murA
rplV,TRUE,-,3447923,3448255,-9.193636511,-0.123195524,0.391742662,0.322521297,4,3,rpsJ-rplCDWB-rpsS-rplV-rpsC-rplP-rpmC-rpsQ
ftsZ,TRUE,+,105305,106456,-9.185145474,-1.04849963,0,1.227218495,1,9,mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC
rpsN,TRUE,-,3444601,3444906,-9.151144281,-0.191278599,1.062992561,0,2,1,rplNXE-rpsNH-rplFR-rpsE-rpmD-rplO-secY-rpmJ
serV,FALSE,-,2816575,2816667,-9.084817819,NA,0,NA,1,0,serV-argVYZQ
infA,TRUE,-,925448,925666,-9.06970609,-0.340434469,0.062184148,0,3,1,infA
ssb,TRUE,+,4272148,4272684,-9.04836948,-0.444547823,0,0.481635159,1,8,ssb
accA,TRUE,+,208621,209580,-9.024254648,-3.749793504,0.673862584,5.168883953,5,2,accA
msbA,TRUE,+,965844,967592,-8.944144206,-0.6266778,1.349106835,0.237755088,4,12,ycaI-msbA-lpxK-ycaQ
gltX,TRUE,-,2517279,2518694,-8.893794968,-0.551066204,0.453250131,0.470281872,6,8,gltX
rplK,FALSE,+,4176470,4176898,-8.720765135,-1.624253396,0.789487946,1.234367724,3,5,rplKAJL-rpoBC
aspS,TRUE,-,1946774,1948546,-8.698548712,-1.018441086,1.119456352,1.12352956,10,20,aspS
ftsA,TRUE,+,103982,105244,-8.645810564,-6.247568434,1.284953017,3.117734671,5,14,mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC
rpsH,TRUE,-,3444175,3444567,-8.558885355,-0.412737408,0.043678248,0.445033817,3,5,rplNXE-rpsNH-rplFR-rpsE-rpmD-rplO-secY-rpmJ
rpsS,TRUE,-,3448270,3448548,-8.502244486,-0.451077073,0.820309707,0.834716362,4,3,rpsJ-rplCDWB-rpsS-rplV-rpsC-rplP-rpmC-rpsQ
rplF,TRUE,-,3443629,3444162,-8.467602185,-0.380548727,0.854046311,0.322707568,2,4,rplNXE-rpsNH-rplFR-rpsE-rpmD-rplO-secY-rpmJ
priB,FALSE,+,4423543,4423857,-8.465008165,-0.256491254,0,0.083593327,1,3,rpsF-priB-rpsR-rplI
rffT,TRUE,+,3976624,3977976,-8.396092114,-0.304388829,1.604690911,0.16668696,3,9,rfe-wzzE-wecBC-rffGHC-wecE-wzxE-wecF-rffT-rffM
pheM,FALSE,-,1797250,1797294,-8.36843976,NA,0,NA,1,0,thrS-infC-rpmI-rplT-pheMST-ihfA
rrlH,FALSE,+,225759,228662,-8.356381472,0.154207436,0,0.392945789,1,2,rrsH-ileV-alaV-rrlH-rrfH
lptB,TRUE,+,3341966,3342691,-8.322706507,-0.200054732,0.875389325,0.300825546,3,4,yrbG-kdsDC-lptCAB-rpoN-hpf-ptsN-rapZ-npr
def,TRUE,+,3431712,3432221,-8.309752958,-0.790498295,0,0.247664466,1,4,def-fmt
glyQ,TRUE,-,3722430,3723341,-8.281141988,-4.322288734,0.91462551,3.747451925,9,16,glyQS
rpsF,FALSE,+,4423141,4423536,-8.274373005,-0.36209302,0.971436683,0.396035152,3,3,rpsF-priB-rpsR-rplI
accC,TRUE,+,3403939,3405288,-8.271697279,-0.359229305,0.279676742,0.228843336,8,10,accBC
dnaC,TRUE,-,4598261,4598998,-8.231561428,-0.166075434,0.446096716,0.078047352,4,2,yjjB-dnaTC-yjjA
rpmB,TRUE,-,3809461,3809697,-8.231342496,-2.800747376,0.635456403,0.036906889,5,3,yicR-rpmBG-mutM
glyS,TRUE,-,3720351,3722420,-8.228048799,-5.433751507,1.440785565,3.542765219,9,13,glyQS
serS,TRUE,+,938651,939943,-8.227514158,-0.939679401,1.544808985,0.700620529,6,10,serS
murA,TRUE,-,3333257,3334516,-8.207284857,-0.498419673,1.119360294,0.603643149,11,12,ibaG-murA
ftsW,TRUE,+,98403,99647,-8.156976822,-1.420797179,1.315551113,1.204521092,4,10,mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC
rpsJ,TRUE,-,3450981,3451292,-8.126362386,-0.254979108,0.27458005,0.174111895,3,2,rpsJ-rplCDWB-rpsS-rplV-rpsC-rplP-rpmC-rpsQ
rpsK,TRUE,-,3439731,3440120,-8.086376337,-1.225953397,1.219029837,0,2,1,rpsMKD-rpoA-rplQ
secY,TRUE,-,3440788,3442119,-8.07629325,-0.644139067,1.816064605,0.538567612,3,10,rplNXE-rpsNH-rplFR-rpsE-rpmD-rplO-secY-rpmJ
lolC,TRUE,+,1174650,1175849,-8.065548158,-0.956200658,0.661713426,1.139741678,6,6,lolCDE
gmk,TRUE,+,3819451,3820074,-8.033030569,-0.921274889,0.634884834,0.232909278,6,2,gmk
infC,TRUE,-,1798120,1798662,-8.031702217,-0.651692398,0.805000569,0.414971203,4,6,thrS-infC-rpmI-rplT-pheMST-ihfA
lolE,TRUE,+,1176543,1177787,-8.01727258,-0.626480283,1.944439012,0.848267076,9,11,lolCDE
lptA,TRUE,+,3341402,3341959,-8.011454755,-0.634834735,1.18588476,0.199950396,6,4,yrbG-kdsDC-lptCAB-rpoN-hpf-ptsN-rapZ-npr
ypaB,FALSE,-,2342616,2342759,-7.964836088,-7.906330711,0,0,1,1,ypaB
rplJ,TRUE,+,4178019,4178516,-7.964231379,-1.009220579,0.884328631,0.883258595,3,4,rplKAJL-rpoBC
leuU,FALSE,-,3320094,3320180,-7.928623507,-0.166906665,0,0.10416893,1,2,secG-leuU
rpsE,TRUE,-,3442748,3443251,-7.832837583,-0.597566204,0.886610104,0.859340996,6,2,rplNXE-rpsNH-rplFR-rpsE-rpmD-rplO-secY-rpmJ
accD,TRUE,-,2431034,2431948,-7.830318905,-0.27197711,1.574446033,0.036946841,2,3,accD
lpxA,TRUE,+,202560,203348,-7.83025505,-1.294209329,2.411061727,0.631392654,6,7,bamA-skp-lpxD-fabZ-lpxAB-rnhB-dnaE
lpxD,TRUE,+,200971,201996,-7.824327397,-0.435587757,1.278680328,0.509454521,4,5,bamA-skp-lpxD-fabZ-lpxAB-rnhB-dnaE
fabG,TRUE,+,1149893,1150627,-7.736864674,-0.268765727,0.012129538,0.058088021,3,6,yceD-rpmF-plsX-fabHDG-acpP-fabF
rpmA,TRUE,-,3330884,3331141,-7.703247152,0.05633409,0.311844303,0.380994738,2,3,rplU-rpmA-yhbE-obgE
