Position,Locus Tag,Replicon,Class - General,Class - Specific,# TA Sites,% Sites Hit,Reads per Site Hit,EL-ARTIST Call,Symbol,Gene Function,Protein ID,Call in Keio Collection,,,,,,,
1,b0001,chromosome,Protein_Coding,protein_coding,4,75,35,Neutral,thrL,thr operon leader peptide,WP_001386572.1,Not Essential,,,,,,,
2,b0002,chromosome,Protein_Coding,protein_coding,86,73,42,Neutral,thrA,Bifunctional aspartokinase/homoserine dehydrogenase 1,WP_001264707.1,Not Essential,,,,,,,
3,b0003,chromosome,Protein_Coding,protein_coding,31,71,23,Neutral,thrB,homoserine kinase,WP_000241662.1,Not Essential,,,,,,,
4,b0004,chromosome,Protein_Coding,protein_coding,34,50,32,Neutral,thrC,L-threonine synthase,WP_000781074.1,Not Essential,,,,,,,
5,b0005,chromosome,Protein_Coding,protein_coding,14,86,43,Neutral,yaaX,DUF2502 family putative periplasmic protein,WP_000738719.1,Not Essential,,,,,,,
6,b0006,chromosome,Protein_Coding,protein_coding,31,65,49,Neutral,yaaA,"peroxide resistance protein, lowers intracellular iron",WP_000906197.1,Not Essential,,,,,,,
7,b0007,chromosome,Protein_Coding,protein_coding,60,70,46,Neutral,yaaJ,putative transporter,WP_001112606.1,Not Essential,,,,,,,
8,b0008,chromosome,Protein_Coding,protein_coding,39,69,29,Neutral,talB,transaldolase B,WP_000130185.1,Not Essential,,,,,,,
9,b0009,chromosome,Protein_Coding,protein_coding,23,61,34,Neutral,mog,molybdochelatase incorporating molybdenum into molybdopterin,WP_001295414.1,Not Essential,,,,,,,
10,b0010,chromosome,Protein_Coding,protein_coding,21,81,19,Neutral,satP,succinate-acetate transporter,WP_000528538.1,Not Essential,,,,,,,
11,b0011,chromosome,Protein_Coding,protein_coding,25,72,40,Neutral,yaaW,UPF0174 family protein,WP_001102367.1,Not Essential,,,,,,,
12,b0013,chromosome,Protein_Coding,protein_coding,19,68,21,Neutral,yaaI,UPF0412 family protein,WP_000843565.1,Not Essential,,,,,,,
13,b0014,chromosome,Protein_Coding,protein_coding,71,1,1,Underrepresented,dnaK,"chaperone Hsp70, with co-chaperone DnaJ",WP_000516135.1,Not Essential,,,,,,,
14,b0015,chromosome,Protein_Coding,protein_coding,33,36,18,Neutral,dnaJ,"chaperone Hsp40, DnaK co-chaperone",WP_001118476.1,Not Essential,,,,,,,
15,b0016,chromosome,Protein_Coding,protein_coding,46,85,31,Neutral,insL1,IS186 transposase,WP_001300563.1,Not Essential,,,,,,,
16,b0018,chromosome,Protein_Coding,protein_coding,10,70,49,Neutral,mokC,"regulatory protein for HokC, overlaps CDS of hokC",WP_000935262.1,Not Essential,,,,,,,
17,b4413,chromosome,RNA,antisense_RNA,3,100,59,Neutral,sokC,"sRNA antisense regulator blocking mokC, and hence hokC, translation",---,Not Essential,,,,,,,
18,b0019,chromosome,Protein_Coding,protein_coding,54,0,0,Underrepresented,nhaA,sodium-proton antiporter,WP_000681354.1,Not Essential,,,,,,,
19,b0020,chromosome,Protein_Coding,protein_coding,45,71,33,Neutral,nhaR,transcriptional activator of nhaA,WP_000062890.1,Not Essential,,,,,,,
20,b0021,chromosome,Protein_Coding,protein_coding,22,86,24,Neutral,insB1,IS1 transposase B,WP_001119362.1,Not Essential,,,,,,,
21,b0022,chromosome,Protein_Coding,protein_coding,8,75,18,Neutral,insA,IS1 repressor TnpA,WP_000179213.1,Not Essential,,,,,,,
22,b0023,chromosome,Protein_Coding,protein_coding,14,7,9,Underrepresented,rpsT,30S ribosomal subunit protein S20,WP_001274021.1,Not Essential,,,,,,,
23,b0024,chromosome,Protein_Coding,protein_coding,10,30,32,Underrepresented,yaaY,uncharacterized protein,WP_001300728.1,Not Essential,,,,,,,
24,b0025,chromosome,Protein_Coding,protein_coding,39,3,3,Underrepresented,ribF,bifunctional riboflavin kinase/FAD synthetase,WP_000767329.1,Essential,,,,,,,
25,b0026,chromosome,Protein_Coding,protein_coding,82,0,0,Underrepresented,ileS,isoleucyl-tRNA synthetase,WP_001286857.1,Essential,,,,,,,
26,b0027,chromosome,Protein_Coding,protein_coding,24,4,6,Underrepresented,lspA,prolipoprotein signal peptidase (signal peptidase II),WP_000083372.1,Essential,,,,,,,
27,b0028,chromosome,Protein_Coding,protein_coding,13,31,9,Underrepresented,fkpB,FKBP-type peptidyl-prolyl cis-trans isomerase (rotamase),WP_000004655.1,Not Essential,,,,,,,
28,b0029,chromosome,Protein_Coding,protein_coding,30,0,0,Underrepresented,ispH,"4-hydroxy-3-methylbut-2-enyl diphosphate reductase, 4Fe-4S protein",WP_001166395.1,Essential,,,,,,,
29,b0030,chromosome,Protein_Coding,protein_coding,32,50,45,Regional,rihC,ribonucleoside hydrolase 3,WP_001239142.1,Not Essential,,,,,,,
30,b0031,chromosome,Protein_Coding,protein_coding,32,0,0,Underrepresented,dapB,dihydrodipicolinate reductase,WP_000543604.1,Essential,,,,,,,
31,b0032,chromosome,Protein_Coding,protein_coding,43,42,13,Neutral,carA,"carbamoyl phosphate synthetase small subunit, glutamine amidotransferase",WP_000597260.1,Not Essential,,,,,,,
32,b0033,chromosome,Protein_Coding,protein_coding,100,37,26,Regional,carB,carbamoyl-phosphate synthase large subunit,WP_001126348.1,Not Essential,,,,,,,
33,b0034,chromosome,Protein_Coding,protein_coding,24,58,10,Neutral,caiF,cai operon transcriptional activator,WP_000333125.1,Not Essential,,,,,,,
34,b0035,chromosome,Protein_Coding,protein_coding,20,80,77,Neutral,caiE,stimulator of CaiD and CaiB enzyme activities,WP_000122871.1,Not Essential,,,,,,,
35,b0036,chromosome,Protein_Coding,protein_coding,25,40,30,Regional,caiD,carnitinyl-CoA dehydratase,WP_001295419.1,Not Essential,,,,,,,
36,b0037,chromosome,Protein_Coding,protein_coding,64,55,41,Neutral,caiC,putative crotonobetaine/carnitine-CoA ligase,WP_001350478.1,Not Essential,,,,,,,
37,b0038,chromosome,Protein_Coding,protein_coding,50,64,55,Neutral,caiB,crotonobetainyl CoA:carnitine CoA transferase,WP_000349936.1,Not Essential,,,,,,,
38,b0039,chromosome,Protein_Coding,protein_coding,44,50,44,Neutral,caiA,"crotonobetaine reductase subunit II, FAD-binding",WP_000347117.1,Not Essential,,,,,,,
39,b0040,chromosome,Protein_Coding,protein_coding,69,70,44,Neutral,caiT,putative transporter,WP_000787103.1,Not Essential,,,,,,,
